Entities,FPS,Frame Time (us)
11.0,0.0,486.9
16.0,1441.7666666666667,1174.3
21.0,1009.1,916.2666666666667
26.0,1102.8333333333333,666.0666666666667
31.0,1063.2666666666667,1025.9
36.0,1050.9,997.0
41.0,1050.5666666666666,944.8
46.0,1043.2666666666667,995.2
51.0,1037.9666666666667,995.7
56.0,1033.4666666666667,1000.1666666666666
61.0,1030.0666666666666,997.3333333333334
66.0,1026.9666666666667,1002.2333333333333
71.0,1024.3333333333333,1002.4333333333333
76.0,1022.9,992.5333333333333
81.0,1020.9333333333333,1001.3333333333334
86.0,1019.6,999.7333333333333
91.0,1018.6333333333333,992.7
96.0,1017.6666666666666,998.4666666666667
101.0,1016.6333333333333,1001.5666666666667
106.0,1015.6666666666666,998.7333333333333
111.0,1014.8666666666667,997.0
116.0,1014.1333333333333,1003.2333333333333
121.0,1013.6333333333333,995.0333333333333
126.0,1013.0666666666667,998.0666666666667
131.0,1012.5,998.8666666666667
136.0,1011.9666666666667,998.9
141.0,1011.5666666666667,999.3
146.0,1011.1333333333333,998.7666666666667
151.0,1010.7666666666667,998.8666666666667
156.0,1010.5333333333333,998.4666666666667
161.0,1010.2333333333333,998.1333333333333
166.0,1009.8666666666667,999.1
171.0,1009.5333333333333,998.4666666666667
176.0,1009.2,999.1666666666666
181.0,1008.8666666666667,1000.0333333333333
186.0,1008.6333333333333,1001.5
191.0,1008.5333333333333,996.0666666666667
196.0,1008.2333333333333,998.2
201.0,1008.0333333333333,999.6666666666666
206.0,1007.9666666666667,998.0666666666667
211.0,1007.6666666666666,998.8666666666667
216.0,1007.5,1000.1333333333333
221.0,1007.4,998.1
226.0,1007.2666666666667,1000.0333333333333
231.0,1007.1333333333333,1000.0333333333333
236.0,1007.1333333333333,995.5666666666667
241.0,1006.8666666666667,998.4666666666667
246.0,1006.7333333333333,1000.8
251.0,1006.5333333333333,998.0333333333333
256.0,1006.4,998.7
261.0,1006.3333333333334,998.5666666666667
266.0,1006.1666666666666,1002.1666666666666
271.0,1006.0,995.7666666666667
276.0,1005.8666666666667,1001.7333333333333
