Entities,FPS,Frame Time (us)
11.0,0.0,929.5333333333333
16.0,1134.7,1049.2666666666667
21.0,1190.2666666666667,767.3333333333334
26.0,1175.1333333333334,762.6666666666666
31.0,1115.8666666666666,1021.0333333333333
36.0,1093.4333333333334,993.4333333333333
41.0,1087.9,933.1
46.0,1074.1666666666667,998.7
51.0,1064.1666666666667,998.5666666666667
56.0,1056.3666666666666,1001.2333333333333
61.0,1050.6333333333334,996.0666666666667
66.0,1045.6666666666667,1000.9666666666667
71.0,1041.8,997.7333333333333
76.0,1038.3333333333333,999.8
81.0,1035.7666666666667,995.3666666666667
86.0,1032.8666666666666,1005.6666666666666
91.0,1031.0333333333333,994.3666666666667
96.0,1029.0333333333333,1001.0
101.0,1027.5,997.8
106.0,1026.0,999.1666666666666
111.0,1024.9333333333334,994.1333333333333
116.0,1023.7,999.7333333333333
121.0,1022.6333333333333,997.9666666666667
126.0,1021.7,1000.4666666666667
131.0,1020.5333333333333,1003.0
136.0,1019.9,993.3666666666667
141.0,1019.1666666666666,1000.4333333333333
146.0,1018.5333333333333,996.0666666666667
151.0,1017.8666666666667,1000.2666666666667
156.0,1017.2666666666667,997.1666666666666
161.0,1016.5666666666667,1003.2
166.0,1016.2,995.6
171.0,1015.5,1003.9666666666667
176.0,1015.3,991.7333333333333
181.0,1014.7666666666667,1001.4333333333333
186.0,1014.4,998.4666666666667
191.0,1014.0333333333333,996.9333333333333
196.0,1013.5,1000.9333333333333
201.0,1013.2,997.3666666666667
206.0,1012.9333333333333,997.9
211.0,1012.4666666666667,1006.6666666666666
216.0,1012.3666666666667,992.1666666666666
221.0,1012.1,999.2333333333333
226.0,1011.9333333333333,996.0666666666667
231.0,1011.6,1000.1
236.0,1011.1,1003.2666666666667
241.0,1010.9,998.6666666666666
246.0,1010.7333333333333,996.7666666666667
251.0,1010.5666666666667,998.5
256.0,1010.4666666666667,998.4666666666667
261.0,1010.2,1000.3666666666667
266.0,1010.0,997.7
271.0,1009.8666666666667,997.0666666666667
276.0,1009.7333333333333,998.1
281.0,1009.4666666666667,998.9
286.0,1009.0666666666667,1011.1
291.0,1008.9666666666667,998.4666666666667
296.0,1008.9333333333333,994.3666666666667
301.0,1008.8,994.7
306.0,1008.6666666666666,996.1666666666666
311.0,1008.4666666666667,1001.6666666666666
316.0,1008.4666666666667,996.8666666666667
321.0,1008.3333333333334,999.1333333333333
326.0,1008.1666666666666,997.1
331.0,1008.0666666666667,997.3333333333334
336.0,1008.0333333333333,999.1666666666666
341.0,1007.9666666666667,1002.6333333333333
346.0,1007.9,997.6666666666666
351.0,1007.7666666666667,995.8666666666667
356.0,1007.5333333333333,999.8666666666667
361.0,1007.3666666666667,1003.2666666666667
366.0,1007.3666666666667,995.6666666666666
371.0,1007.2333333333333,1004.7
376.0,1007.1666666666666,998.7
381.0,1007.0666666666667,997.1
386.0,1007.0333333333333,995.0
391.0,1006.8333333333334,1003.4333333333333
396.0,1006.7333333333333,998.3
401.0,1006.7,996.6333333333333
406.0,1006.7,996.1666666666666
411.0,1006.6333333333333,998.9
416.0,1006.5,1002.2666666666667
421.0,1006.5333333333333,995.2
426.0,1006.4666666666667,998.6333333333333
431.0,1006.3666666666667,1001.3
436.0,1006.2,996.4
441.0,1006.2,999.1333333333333
446.0,1006.1,1002.3
451.0,1005.9666666666667,1003.0333333333333
456.0,1005.9,1001.0666666666667
461.0,1005.9,991.8
466.0,1005.9,997.1333333333333
471.0,1005.8,1001.6666666666666
476.0,1005.7666666666667,997.7333333333333
481.0,1005.6666666666666,1002.1333333333333
486.0,1005.6666666666666,991.6666666666666
491.0,1005.5666666666667,1001.2333333333333
496.0,1005.5666666666667,996.4333333333333
501.0,1005.4666666666667,998.9
506.0,1005.4,1005.1
511.0,1005.2,1006.2666666666667
516.0,1005.0666666666667,1010.4
521.0,1004.9,1013.7666666666667
526.0,1004.7666666666667,1008.4666666666667
531.0,1004.6666666666666,1005.4
536.0,1004.5666666666667,1009.7666666666667
541.0,1004.5666666666667,996.1666666666666
546.0,1004.6,998.3666666666667
551.0,1004.5333333333333,995.5
556.0,1004.4333333333333,999.4333333333333
561.0,1004.3333333333334,1005.9666666666667
566.0,1004.3,1002.2
571.0,1004.2666666666667,997.4333333333333
576.0,1004.3,995.7
581.0,1004.3333333333334,995.2666666666667
586.0,1004.3,998.9333333333333
591.0,1004.3,998.7666666666667
596.0,1004.2333333333333,998.9333333333333
601.0,1004.1333333333333,1002.7333333333333
606.0,1004.1,997.5333333333333
611.0,1004.1,998.6333333333333
616.0,1004.0333333333333,1003.9666666666667
621.0,1004.0666666666667,994.4333333333333
626.0,1004.0333333333333,1000.1333333333333
631.0,1004.0666666666667,995.4333333333333
636.0,1003.9666666666667,1001.2666666666667
641.0,1003.8666666666667,1003.1333333333333
646.0,1003.7333333333333,1012.0666666666667
651.0,1003.6666666666666,1006.0666666666667
656.0,1003.6666666666666,995.7666666666667
661.0,1003.5666666666667,1006.3666666666667
666.0,1003.5,1007.7333333333333
671.0,1003.5,995.2333333333333
676.0,1003.4666666666667,1001.0
681.0,1003.3666666666667,1009.8
686.0,1003.2666666666667,1009.2333333333333
691.0,1003.2,1003.0
696.0,1003.1,1010.3666666666667
701.0,1003.0666666666667,1007.3333333333334
706.0,1003.0,1005.9333333333333
711.0,1002.9,1008.2333333333333
716.0,1002.7333333333333,1028.5
721.0,1002.7,1012.2
726.0,1002.4,1023.6666666666666
731.0,1002.1,1032.6333333333334
736.0,1001.8333333333334,1032.9333333333334
741.0,1001.5666666666667,1041.6333333333334
746.0,1001.1666666666666,1049.6333333333334
751.0,1000.8,1048.4333333333334
756.0,1000.4,1072.7666666666667
761.0,999.8333333333334,1062.9666666666667
766.0,999.4,1073.2
771.0,998.8666666666667,1084.1666666666667
776.0,998.2666666666667,1094.5333333333333
781.0,997.6666666666666,1094.6
786.0,997.0,1112.7666666666667
791.0,996.2,1127.0333333333333
796.0,995.4333333333333,1125.3
801.0,994.6,1129.3333333333333
806.0,993.6333333333333,1163.5
811.0,992.8,1143.0
816.0,991.8,1156.9
821.0,990.8,1166.6333333333334
826.0,989.8666666666667,1164.2333333333333
831.0,988.9333333333333,1182.3333333333333
836.0,988.0,1187.7
841.0,986.8666666666667,1192.6333333333334
846.0,985.8,1188.3
851.0,984.7333333333333,1195.6666666666667
856.0,983.5333333333333,1225.7
861.0,982.3666666666667,1219.9333333333334
866.0,981.1666666666666,1228.6333333333334
871.0,979.9333333333333,1241.0666666666666
876.0,978.7333333333333,1253.7333333333333
881.0,977.4333333333333,1243.1
886.0,976.0,1275.0333333333333
891.0,974.6333333333333,1277.3
896.0,973.3,1290.1333333333334
901.0,972.0,1289.1333333333334
906.0,970.3,1311.8333333333333
911.0,968.8,1335.5333333333333
916.0,967.2,1326.6
921.0,965.7333333333333,1322.1666666666667
926.0,964.2,1332.8666666666666
931.0,962.6333333333333,1367.6666666666667
936.0,961.0666666666667,1344.3666666666666
941.0,959.6333333333333,1341.3666666666666
946.0,957.9666666666667,1356.5333333333333
951.0,956.4333333333333,1365.5333333333333
956.0,954.8,1382.1
961.0,953.1666666666666,1388.8666666666666
966.0,951.4666666666667,1399.5
971.0,949.8,1406.1333333333334
976.0,948.2,1407.1333333333334
981.0,946.4333333333333,1435.4
986.0,944.7,1424.7666666666667
991.0,943.1333333333333,1417.1666666666667
996.0,941.3333333333334,1440.0
1001.0,939.6,1444.1
1006.0,937.9333333333333,1444.7333333333333
1011.0,936.3,1465.5333333333333
1016.0,934.3333333333334,1483.8
1021.0,932.6,1492.4
1026.0,930.6666666666666,1509.7
1031.0,928.8,1530.4
1036.0,926.8,1535.9
1041.0,924.9333333333333,1540.2
1046.0,923.0666666666667,1535.1666666666667
1051.0,921.2333333333333,1535.6
1056.0,919.3333333333334,1525.1666666666667
1061.0,917.3666666666667,1586.5333333333333
1066.0,915.4666666666667,1604.9666666666667
1071.0,913.4333333333333,1586.3
1076.0,911.4333333333333,1594.3666666666666
1081.0,909.5666666666667,1584.7333333333333
1086.0,907.8,1575.8333333333333
1091.0,905.8333333333334,1578.9666666666667
1096.0,904.2,1576.4666666666667
1101.0,902.3666666666667,1576.3
1106.0,900.6,1586.6333333333334
1111.0,898.8,1584.9333333333334
1116.0,897.0666666666667,1584.4666666666667
1121.0,895.3333333333334,1612.5666666666666
1126.0,893.4333333333333,1619.2
1131.0,891.7333333333333,1634.0
1136.0,889.9666666666667,1623.1
1141.0,888.1,1629.0333333333333
1146.0,886.2,1666.8666666666666
1151.0,884.4666666666667,1652.2666666666667
1156.0,882.6333333333333,1651.8333333333333
1161.0,880.9,1658.4333333333334
1166.0,879.0666666666667,1687.3666666666666
1171.0,877.2,1702.5666666666666
1176.0,875.3,1694.3666666666666
1181.0,873.4333333333333,1718.1
1186.0,871.6,1721.9333333333334
1191.0,869.7333333333333,1710.4
1196.0,867.9,1725.4333333333334
1201.0,866.1333333333333,1728.2666666666667
1206.0,864.2666666666667,1736.8
1211.0,862.3333333333334,1763.2333333333333
1216.0,860.4666666666667,1749.7666666666667
1221.0,858.7666666666667,1766.4333333333334
1226.0,856.7666666666667,1784.4
1231.0,854.8333333333334,1786.7
1236.0,853.1333333333333,1783.6333333333334
1241.0,851.2333333333333,1797.2
1246.0,849.4,1826.2
1251.0,847.4666666666667,1819.4
1256.0,845.6333333333333,1827.8333333333333
1261.0,843.7,1853.7
1266.0,841.9333333333333,1837.7333333333333
1271.0,840.1333333333333,1848.2666666666667
1276.0,838.1,1865.5
1281.0,836.2333333333333,1881.3666666666666
1286.0,834.3333333333334,1890.2666666666667
1291.0,832.4,1880.3666666666666
1296.0,830.5333333333333,1906.3333333333333
1301.0,828.6,1900.9
1306.0,826.8666666666667,1916.6
1311.0,825.0,1904.4
1316.0,823.1333333333333,1930.9
1321.0,821.2666666666667,1953.6666666666667
1326.0,819.3,1944.2
1331.0,817.4666666666667,1955.5666666666666
1336.0,815.6,1968.8666666666666
1341.0,813.7333333333333,1993.0666666666666
1346.0,811.9,1972.4666666666667
1351.0,810.0333333333333,1998.4333333333334
1356.0,808.1333333333333,1992.8
1361.0,806.2,2016.6333333333334
1366.0,804.3333333333334,2032.5666666666666
1371.0,802.5333333333333,2041.1666666666667
1376.0,800.6,2050.3
1381.0,798.7333333333333,2045.2333333333333
1386.0,796.9,2052.6
1391.0,794.9333333333333,2067.9333333333334
1396.0,793.0666666666667,2073.5
1401.0,791.3666666666667,2072.4666666666667
1406.0,789.4666666666667,2081.266666666667
1411.0,787.6,2103.9666666666667
1416.0,785.6333333333333,2103.5333333333333
1421.0,783.8333333333334,2107.0666666666666
1426.0,781.9666666666667,2120.733333333333
1431.0,780.2,2135.7
1436.0,778.4333333333333,2132.866666666667
1441.0,776.6666666666666,2138.1
1446.0,774.8333333333334,2162.8333333333335
1451.0,772.9333333333333,2165.6666666666665
1456.0,771.1666666666666,2180.6666666666665
1461.0,769.3333333333334,2199.9
1466.0,767.4,2200.9
1471.0,765.5666666666667,2204.0333333333333
1476.0,763.8,2202.8
1481.0,762.0,2222.5
1486.0,760.1,2256.6
1491.0,758.3666666666667,2264.9333333333334
1496.0,756.6,2235.9333333333334
1501.0,754.8,2259.6666666666665
1506.0,752.9333333333333,2265.8
1511.0,751.0333333333333,2272.866666666667
1516.0,749.4333333333333,2286.9666666666667
1521.0,747.6333333333333,2287.2
1526.0,745.7666666666667,2331.4
1531.0,743.8,2359.4666666666667
1536.0,742.0333333333333,2360.4
1541.0,740.3333333333334,2364.733333333333
1546.0,738.3666666666667,2367.1666666666665
1551.0,736.6333333333333,2342.266666666667
1556.0,734.7666666666667,2386.1
1561.0,733.1,2388.2
1566.0,731.3333333333334,2380.3
1571.0,729.4666666666667,2393.0666666666666
1576.0,727.7666666666667,2442.1
1581.0,725.8666666666667,2474.5666666666666
1586.0,724.0,2496.0666666666666
1591.0,722.2,2499.7
1596.0,720.2333333333333,2538.9666666666667
1601.0,718.6,2458.3333333333335
1606.0,716.6666666666666,2487.1
1611.0,715.0666666666667,2488.9
1616.0,713.1,2568.5666666666666
1621.0,711.3,2554.233333333333
1626.0,709.5,2556.0
1631.0,707.6,2681.5
1636.0,705.7,2655.0
1641.0,703.7666666666667,2670.1666666666665
1646.0,701.8,2609.7
1651.0,700.2666666666667,2584.5
1656.0,698.4333333333333,2643.366666666667
1661.0,696.5,2711.1
1666.0,694.7,2699.9
1671.0,692.8666666666667,2682.866666666667
1676.0,691.2666666666667,2616.3333333333335
1681.0,689.4666666666667,2644.366666666667
1686.0,687.8,2666.766666666667
1691.0,686.1333333333333,2660.866666666667
1696.0,684.3,2653.6666666666665
1701.0,682.7333333333333,2706.8333333333335
1706.0,680.9,2727.5666666666666
1711.0,679.2333333333333,2706.9
1716.0,677.5666666666667,2708.4
1721.0,676.0,2677.9333333333334
1726.0,674.3333333333334,2705.1
1731.0,672.7333333333333,2726.4333333333334
1736.0,671.1,2710.133333333333
1741.0,669.4,2744.766666666667
1746.0,667.8333333333334,2790.5
1751.0,665.9666666666667,2886.5333333333333
1756.0,664.2333333333333,2889.133333333333
1761.0,662.4666666666667,2893.2
1766.0,660.7333333333333,2917.7
1771.0,659.1333333333333,2821.266666666667
1776.0,657.5,2792.3333333333335
1781.0,655.9666666666667,2776.9666666666667
1786.0,654.4333333333333,2805.4
1791.0,652.8666666666667,2810.0666666666666
1796.0,651.3666666666667,2815.4
1801.0,649.7666666666667,2827.4333333333334
1806.0,648.3666666666667,2821.4
1811.0,646.7333333333333,2827.0
1816.0,645.4,2889.633333333333
1821.0,643.7,2884.9333333333334
1826.0,642.3666666666667,2875.3333333333335
1831.0,640.6666666666666,2908.5666666666666
1836.0,639.1,2952.766666666667
1841.0,637.6333333333333,2922.3333333333335
1846.0,636.0333333333333,2949.0333333333333
1851.0,634.6,2941.3333333333335
1856.0,633.0333333333333,2938.7
1861.0,631.6333333333333,2933.3333333333335
1866.0,630.0666666666667,2956.0
1871.0,628.6333333333333,3002.0
1876.0,627.1333333333333,2961.1666666666665
1881.0,625.7,3037.133333333333
1886.0,624.0666666666667,3040.366666666667
1891.0,622.7666666666667,3024.366666666667
1896.0,621.1666666666666,3080.7
1901.0,619.6666666666666,3089.866666666667
1906.0,618.1333333333333,3099.4333333333334
1911.0,616.7333333333333,3035.5
1916.0,615.2666666666667,3090.3
1921.0,613.8666666666667,3070.8
1926.0,612.4,3075.0333333333333
1931.0,610.9333333333333,3103.4333333333334
1936.0,609.6666666666666,3081.6
1941.0,608.1333333333333,3126.2
1946.0,606.7,3176.8
1951.0,605.1666666666666,3233.0
1956.0,603.8333333333334,3151.4333333333334
1961.0,602.3333333333334,3158.266666666667
1966.0,600.9333333333333,3168.866666666667
1971.0,599.6333333333333,3153.233333333333
1976.0,598.2,3181.5
1981.0,596.8666666666667,3169.8333333333335
1986.0,595.5666666666667,3185.733333333333
1991.0,594.0666666666667,3191.133333333333
1996.0,592.8,3207.6
2001.0,591.3666666666667,3240.733333333333
2006.0,590.0666666666667,3255.0333333333333
2011.0,588.7666666666667,3239.0666666666666
2016.0,587.3,3244.8333333333335
2021.0,586.0666666666667,3279.133333333333
2026.0,584.5666666666667,3283.3
2031.0,583.3666666666667,3272.9333333333334
2036.0,582.0333333333333,3291.633333333333
2041.0,580.6666666666666,3303.866666666667
2046.0,579.3,3326.5
2051.0,578.0333333333333,3349.9
2056.0,576.6666666666666,3451.866666666667
2061.0,575.2,3457.9333333333334
2066.0,573.8666666666667,3446.4
2071.0,572.5333333333333,3361.9
2076.0,571.2,3420.9666666666667
2081.0,569.8333333333334,3461.9666666666667
2086.0,568.5333333333333,3459.266666666667
2091.0,567.2666666666667,3472.6
2096.0,565.9333333333333,3462.9333333333334
2101.0,564.4666666666667,3495.1
2106.0,563.3666666666667,3434.8333333333335
2111.0,562.1,3446.3
2116.0,560.7666666666667,3446.1
2121.0,559.5666666666667,3468.6666666666665
2126.0,558.3,3468.866666666667
2131.0,557.0666666666667,3500.6666666666665
2136.0,555.8333333333334,3497.1
2141.0,554.6333333333333,3543.1
2146.0,553.2666666666667,3491.0333333333333
2151.0,552.0666666666667,3528.5666666666666
2156.0,550.8666666666667,3560.5333333333333
2161.0,549.6666666666666,3559.6
2166.0,548.3,3572.9333333333334
2171.0,547.1666666666666,3572.4
2176.0,546.0,3601.6
2181.0,544.7,3665.8333333333335
2186.0,543.5333333333333,3524.6666666666665
2191.0,542.3,3555.3333333333335
2196.0,541.2333333333333,3595.7
2201.0,540.1,3548.9666666666667
2206.0,538.8666666666667,3630.9
2211.0,537.7,3674.6
2216.0,536.5333333333333,3578.8
2221.0,535.4666666666667,3583.2
2226.0,534.2666666666667,3635.6
2231.0,533.1666666666666,3601.9666666666667
2236.0,532.0333333333333,3633.3
2241.0,530.9333333333333,3655.766666666667
2246.0,529.7333333333333,3660.633333333333
2251.0,528.6333333333333,3666.6666666666665
2256.0,527.5666666666667,3709.266666666667
2261.0,526.4333333333333,3702.0666666666666
2266.0,525.3,3676.633333333333
2271.0,524.2333333333333,3739.4
2276.0,523.1666666666666,3720.5
2281.0,522.0333333333333,3701.6
2286.0,521.0,3717.4333333333334
2291.0,519.9333333333333,3766.4333333333334
2296.0,518.7666666666667,3736.266666666667
2301.0,517.7,3831.0333333333333
2306.0,516.5,3912.133333333333
2311.0,515.3,3918.9
2316.0,514.1666666666666,3943.733333333333
2321.0,513.0,3951.633333333333
2326.0,511.8333333333333,3924.5
2331.0,510.76666666666665,3897.866666666667
2336.0,509.73333333333335,3830.1666666666665
2341.0,508.73333333333335,3831.3
2346.0,507.6666666666667,3916.233333333333
2351.0,506.6,3902.866666666667
2356.0,505.53333333333336,3858.9333333333334
2361.0,504.53333333333336,3865.633333333333
2366.0,503.5,3885.1
2371.0,502.5,3912.233333333333
2376.0,501.4,3992.733333333333
2381.0,500.3666666666667,3981.866666666667
2386.0,499.1666666666667,3964.9666666666667
2391.0,498.03333333333336,3950.733333333333
2396.0,496.96666666666664,3941.6666666666665
2401.0,495.9,3947.4333333333334
2406.0,494.8333333333333,3973.9333333333334
2411.0,493.76666666666665,3979.0
2416.0,492.6666666666667,3983.4
2421.0,491.53333333333336,3994.9666666666667
2426.0,490.3666666666667,3987.6666666666665
2431.0,489.1666666666667,4003.133333333333
2436.0,487.76666666666665,4040.3
2441.0,486.26666666666665,4031.3333333333335
2446.0,484.7,4076.766666666667
2451.0,482.8333333333333,4059.633333333333
2456.0,480.5,4080.2
2461.0,477.8,4098.166666666667
2466.0,475.03333333333336,4119.7
2471.0,472.1,4106.033333333334
2476.0,468.96666666666664,4130.033333333334
2481.0,465.76666666666665,4122.166666666667
2486.0,462.56666666666666,4156.566666666667
2491.0,459.3,4255.5
2496.0,456.23333333333335,4149.0
2501.0,453.1,4264.933333333333
2506.0,449.7,4288.566666666667
2511.0,446.3333333333333,4233.4
2516.0,443.2,4206.6
2521.0,440.03333333333336,4273.433333333333
2526.0,436.7,4251.166666666667
2531.0,433.3333333333333,4311.166666666667
2536.0,430.1333333333333,4238.933333333333
2541.0,426.8666666666667,4241.333333333333
2546.0,423.6333333333333,4248.066666666667
2551.0,420.4,4267.366666666667
2556.0,417.06666666666666,4297.366666666667
2561.0,413.76666666666665,4299.6
2566.0,410.46666666666664,4349.033333333334
2571.0,407.1,4308.9
2576.0,403.9,4330.333333333333
2581.0,400.6333333333333,4364.7
2586.0,397.23333333333335,4421.766666666666
2591.0,393.8333333333333,4369.966666666666
2596.0,390.46666666666664,4363.066666666667
2601.0,387.3,4364.333333333333
2606.0,384.03333333333336,4374.5
2611.0,380.8,4387.966666666666
2616.0,377.6333333333333,4400.733333333334
2621.0,374.43333333333334,4413.8
2626.0,371.26666666666665,4437.466666666666
2631.0,368.26666666666665,4439.5
2636.0,365.3,4453.266666666666
2641.0,362.3666666666667,4453.266666666666
2646.0,359.73333333333335,4491.533333333334
2651.0,357.0,4514.533333333334
2656.0,354.3666666666667,4488.6
2661.0,351.8666666666667,4497.333333333333
2666.0,349.3666666666667,4513.4
2671.0,346.93333333333334,4645.466666666666
2676.0,344.5,4691.9
2681.0,342.06666666666666,4671.7
2686.0,339.7,4730.066666666667
2691.0,337.5,4726.133333333333
2696.0,335.4,4554.7
2701.0,333.3,4608.966666666666
2706.0,331.26666666666665,4589.833333333333
2711.0,329.26666666666665,4610.366666666667
2716.0,327.43333333333334,4615.966666666666
2721.0,325.3333333333333,4686.5
2726.0,323.4,4696.0
2731.0,321.53333333333336,4668.7
2736.0,319.6333333333333,4734.866666666667
2741.0,317.6666666666667,4754.866666666667
2746.0,315.9,4690.633333333333
2751.0,314.1333333333333,4701.4
2756.0,312.3333333333333,4721.7
2761.0,310.6666666666667,4719.433333333333
2766.0,308.93333333333334,4764.733333333334
2771.0,307.26666666666665,4816.833333333333
2776.0,305.6666666666667,4757.166666666667
2781.0,303.9,4810.066666666667
2786.0,302.46666666666664,4789.9
2791.0,300.76666666666665,4790.666666666667
2796.0,299.3333333333333,4822.633333333333
2801.0,297.6666666666667,4868.966666666666
2806.0,296.26666666666665,4863.8
2811.0,294.7,4812.866666666667
2816.0,293.43333333333334,4833.766666666666
2821.0,291.9,4840.266666666666
2826.0,290.46666666666664,4859.366666666667
2831.0,289.06666666666666,4859.333333333333
2836.0,287.7,4856.3
2841.0,286.3666666666667,4886.966666666666
2846.0,285.2,4876.633333333333
2851.0,283.6666666666667,4894.2
2856.0,282.5,4910.1
2861.0,281.26666666666665,4956.333333333333
2866.0,280.06666666666666,4928.5
2871.0,278.73333333333335,4950.1
2876.0,277.53333333333336,4954.066666666667
2881.0,276.43333333333334,4962.5
2886.0,275.1333333333333,4991.766666666666
2891.0,273.9,4992.9
2896.0,272.8,4988.966666666666
2901.0,271.7,5092.633333333333
2906.0,270.6,5063.5
2911.0,269.46666666666664,5064.033333333334
2916.0,268.3333333333333,5043.8
2921.0,267.26666666666665,5062.2
2926.0,266.23333333333335,5092.066666666667
2931.0,265.1333333333333,5081.266666666666
2936.0,264.1333333333333,5100.733333333334
2941.0,263.1333333333333,5083.666666666667
2946.0,262.1,5172.1
2951.0,261.1,5147.266666666666
2956.0,260.2,5101.433333333333
2961.0,259.26666666666665,5150.066666666667
2966.0,258.3333333333333,5219.866666666667
2971.0,257.3,5177.666666666667
2976.0,256.43333333333334,5176.066666666667
2981.0,255.5,5210.733333333334
2986.0,254.56666666666666,5177.2
2991.0,253.6,5211.833333333333
2996.0,252.66666666666666,5250.166666666667
3001.0,251.76666666666668,5230.866666666667
3006.0,250.8,5235.933333333333
3011.0,249.93333333333334,5258.566666666667
3016.0,249.16666666666666,5261.8
3021.0,248.26666666666668,5323.333333333333
3026.0,247.4,5451.2
3031.0,246.56666666666666,5386.933333333333
3036.0,245.66666666666666,5325.0
3041.0,244.8,5316.133333333333
3046.0,243.96666666666667,5316.033333333334
3051.0,243.2,5373.9
3056.0,242.33333333333334,5362.533333333334
3061.0,241.4,5354.9
3066.0,240.56666666666666,5398.7
3071.0,239.73333333333332,5380.5
3076.0,238.93333333333334,5388.066666666667
3081.0,238.2,5450.6
3086.0,237.4,5418.733333333334
3091.0,236.6,5424.833333333333
3096.0,235.8,5488.566666666667
3101.0,235.06666666666666,5458.633333333333
3106.0,234.16666666666666,5551.533333333334
3111.0,233.46666666666667,5507.033333333334
3116.0,232.73333333333332,5494.366666666667
3121.0,231.96666666666667,5504.833333333333
3126.0,231.3,5543.533333333334
3131.0,230.6,5593.666666666667
3136.0,229.76666666666668,5590.2
3141.0,229.03333333333333,5640.4
3146.0,228.23333333333332,5586.5
3151.0,227.53333333333333,5590.733333333334
3156.0,226.86666666666667,5600.6
3161.0,226.13333333333333,5607.3
3166.0,225.43333333333334,5615.666666666667
3171.0,224.8,5644.433333333333
3176.0,224.0,5634.266666666666
3181.0,223.4,5663.333333333333
3186.0,222.83333333333334,5683.2
3191.0,222.0,5653.733333333334
3196.0,221.4,5670.133333333333
3201.0,220.9,5682.366666666667
3206.0,220.1,5712.933333333333
3211.0,219.3,5709.933333333333
3216.0,218.9,5710.966666666666
3221.0,218.1,5731.3
3226.0,217.5,5709.5
3231.0,216.9,5740.433333333333
3236.0,216.16666666666666,5746.833333333333
3241.0,215.6,5883.633333333333
3246.0,214.96666666666667,5864.066666666667
3251.0,214.3,5796.566666666667
3256.0,213.73333333333332,5812.033333333334
3261.0,213.13333333333333,5808.4
3266.0,212.46666666666667,5824.533333333334
3271.0,211.8,5866.3
3276.0,211.23333333333332,5961.8
3281.0,210.6,5973.933333333333
3286.0,210.0,5902.766666666666
3291.0,209.43333333333334,5922.0
3296.0,208.8,5900.6
3301.0,208.3,5919.733333333334
3306.0,207.6,5922.8
3311.0,207.03333333333333,5931.7
3316.0,206.4,6027.8
3321.0,205.76666666666668,5970.033333333334
3326.0,205.23333333333332,5982.966666666666
3331.0,204.66666666666666,6004.666666666667
3336.0,204.1,6010.966666666666
3341.0,203.5,6014.433333333333
3346.0,202.86666666666667,6051.933333333333
